epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,103.149,1.19788,0.73241,1.19682,0.93416,0.88,0.91875,0.4668,1.81451,0.78004,1.62952,0.00158816,0.00158816,0.00158816
106,104.112,1.19797,0.80455,1.17276,0.88064,0.96,0.90719,0.42685,1.91612,0.76457,1.67699,0.0015842,0.0015842,0.0015842
107,105.072,1.20006,0.7225,1.18468,0.88402,0.96,0.9072,0.40759,1.82257,0.73773,1.63129,0.00158024,0.00158024,0.00158024
108,106.032,1.14839,0.70909,1.14275,0.88702,0.96,0.93657,0.47343,1.69827,0.82364,1.54022,0.00157628,0.00157628,0.00157628
109,106.994,1.11658,0.69783,1.11877,0.88838,0.9552,0.93785,0.43532,1.79198,0.90913,1.57943,0.00157232,0.00157232,0.00157232
110,107.959,1.15227,0.67215,1.12359,0.88181,0.96,0.94205,0.44857,1.79964,0.85383,1.61236,0.00156836,0.00156836,0.00156836
111,108.922,1.12613,0.75229,1.11908,0.86481,0.96,0.85768,0.41498,1.72647,0.8306,1.56792,0.0015644,0.0015644,0.0015644
112,109.885,1.11418,0.67058,1.08807,0.84781,0.92,0.83376,0.38352,1.77395,0.84526,1.6362,0.00156044,0.00156044,0.00156044
113,110.843,1.20519,0.81407,1.12087,0.88807,0.95233,0.89897,0.43654,1.73912,0.72916,1.58682,0.00155648,0.00155648,0.00155648
114,111.811,1.06333,0.65025,1.08404,0.95275,0.96,0.99204,0.51542,1.60836,0.68806,1.54103,0.00155252,0.00155252,0.00155252
115,112.769,1.18973,0.71146,1.18185,0.94729,0.92,0.95617,0.4545,1.72637,0.76595,1.61958,0.00154856,0.00154856,0.00154856
116,113.734,1.14786,0.75642,1.14461,0.95602,0.92,0.95131,0.40791,1.83639,0.86462,1.69689,0.0015446,0.0015446,0.0015446
117,114.685,1.17462,0.7105,1.17911,0.9489,0.92,0.9507,0.43461,1.75795,0.85817,1.68162,0.00154064,0.00154064,0.00154064
118,115.647,1.18867,0.71439,1.1285,0.85292,0.96,0.91069,0.41299,1.82539,0.87059,1.71455,0.00153668,0.00153668,0.00153668
119,116.607,1.07637,0.68012,1.09886,0.88792,0.95098,0.92245,0.38253,1.93704,0.88365,1.74425,0.00153272,0.00153272,0.00153272
120,117.568,1.10407,0.71052,1.17732,0.90527,0.88,0.87114,0.38754,1.97943,0.80273,1.72039,0.00152876,0.00152876,0.00152876
121,118.519,1.13356,0.69026,1.14124,0.97375,0.92,0.9556,0.44216,1.97346,0.75912,1.66703,0.0015248,0.0015248,0.0015248
122,119.482,1.08624,0.62356,1.10957,0.99371,0.92,0.95811,0.51735,1.79111,0.7615,1.553,0.00152084,0.00152084,0.00152084
123,120.448,1.04632,0.63932,1.1184,1,0.91898,0.95627,0.44167,1.92702,0.77124,1.63258,0.00151688,0.00151688,0.00151688
124,121.408,1.07415,0.61225,1.0317,0.88285,0.96,0.90853,0.42353,1.83164,0.79459,1.61691,0.00151292,0.00151292,0.00151292
125,122.357,1.13177,0.68156,1.11453,0.89312,0.88,0.88451,0.41268,1.75106,0.76874,1.5967,0.00150896,0.00150896,0.00150896
126,123.319,0.99799,0.62214,1.0626,0.91968,0.91618,0.92169,0.45376,1.68439,0.73882,1.58508,0.001505,0.001505,0.001505
127,124.285,1.02096,0.65055,1.09377,0.9008,0.84,0.89027,0.50239,1.71433,0.74587,1.59162,0.00150104,0.00150104,0.00150104
128,125.249,1.10939,0.67963,1.10198,0.81429,0.92,0.87288,0.49277,1.73451,0.67449,1.6132,0.00149708,0.00149708,0.00149708
129,126.201,1.1234,0.6882,1.11028,0.81655,0.92,0.85668,0.49138,1.69343,0.66903,1.58264,0.00149312,0.00149312,0.00149312
130,127.165,1.11047,0.67402,1.1544,0.88594,0.96,0.87451,0.47078,1.66581,0.69187,1.56849,0.00148916,0.00148916,0.00148916
