epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,354.019,1.25686,0.5831,0.95922,0.92163,0.98001,0.975,0.58584,1.43245,0.69498,1.05064,0.00160004,0.00160004,0.00160004
103,357.548,1.25992,0.60356,0.96644,0.95496,0.95833,0.97518,0.58569,1.4459,0.68765,1.0557,0.00159608,0.00159608,0.00159608
104,361.044,1.26904,0.6151,0.96075,0.92387,0.96667,0.97029,0.54339,1.56199,0.75575,1.09047,0.00159212,0.00159212,0.00159212
105,364.549,1.27857,0.59959,0.97537,0.9485,0.975,0.97961,0.57756,1.47463,0.65556,1.0988,0.00158816,0.00158816,0.00158816
106,368.386,1.23814,0.56848,0.96842,0.95677,0.975,0.98657,0.57823,1.42251,0.64554,1.04204,0.0015842,0.0015842,0.0015842
107,372.077,1.26954,0.58806,0.97339,0.95636,0.975,0.98072,0.56258,1.47999,0.66778,1.04661,0.00158024,0.00158024,0.00158024
108,375.564,1.26873,0.5905,0.97406,0.95872,0.9676,0.97655,0.55286,1.48385,0.66694,1.06473,0.00157628,0.00157628,0.00157628
109,379.053,1.28,0.59978,0.97314,0.94935,0.975,0.97909,0.58335,1.43835,0.68318,1.07145,0.00157232,0.00157232,0.00157232
110,382.564,1.25693,0.58612,0.95151,0.92119,0.99167,0.97957,0.57244,1.4804,0.66338,1.06232,0.00156836,0.00156836,0.00156836
111,386.054,1.24394,0.60025,0.97139,0.95064,0.96306,0.98042,0.59927,1.44398,0.66194,1.06377,0.0015644,0.0015644,0.0015644
112,389.568,1.24057,0.5841,0.95893,0.95035,0.95701,0.97848,0.59368,1.4629,0.69421,1.07906,0.00156044,0.00156044,0.00156044
113,393.05,1.2567,0.60032,0.96823,0.95693,0.975,0.97887,0.58029,1.41342,0.65521,1.03708,0.00155648,0.00155648,0.00155648
114,396.534,1.21357,0.57639,0.94686,0.93472,0.98333,0.98065,0.61353,1.41751,0.64159,1.04704,0.00155252,0.00155252,0.00155252
115,400.03,1.23771,0.58292,0.95225,0.91551,0.99167,0.98175,0.5887,1.50407,0.67106,1.0669,0.00154856,0.00154856,0.00154856
116,403.806,1.25774,0.58862,0.96494,0.94568,0.98333,0.98299,0.58042,1.48259,0.64529,1.05892,0.0015446,0.0015446,0.0015446
117,407.8,1.28479,0.5893,0.96977,0.95821,0.95536,0.97638,0.57327,1.45505,0.68959,1.05541,0.00154064,0.00154064,0.00154064
118,411.38,1.23507,0.59225,0.96971,0.94354,0.9749,0.97746,0.59053,1.40257,0.66921,1.04297,0.00153668,0.00153668,0.00153668
119,414.904,1.2277,0.57547,0.96719,0.94315,0.975,0.98076,0.56136,1.55135,0.68065,1.09144,0.00153272,0.00153272,0.00153272
120,418.414,1.2477,0.5883,0.9628,0.96654,0.96667,0.97958,0.58707,1.4065,0.65052,1.02678,0.00152876,0.00152876,0.00152876
121,421.905,1.2382,0.58515,0.95759,0.94646,0.98333,0.98387,0.56984,1.46734,0.67189,1.04815,0.0015248,0.0015248,0.0015248
122,425.768,1.26462,0.58131,0.96044,0.94109,0.98333,0.97701,0.56379,1.44167,0.67468,1.03407,0.00152084,0.00152084,0.00152084
123,429.301,1.25541,0.59583,0.96349,0.91986,0.95655,0.97112,0.54704,1.45446,0.71179,1.06012,0.00151688,0.00151688,0.00151688
124,432.834,1.24973,0.5927,0.95723,0.94434,0.98966,0.98022,0.59845,1.45284,0.64524,1.0475,0.00151292,0.00151292,0.00151292
125,436.365,1.24592,0.56529,0.96674,0.94344,0.97294,0.96956,0.5818,1.48679,0.64377,1.07133,0.00150896,0.00150896,0.00150896
126,440.18,1.21709,0.56773,0.94598,0.94093,0.98333,0.98585,0.55722,1.51068,0.66668,1.11547,0.001505,0.001505,0.001505
127,443.879,1.21201,0.55381,0.94358,0.96679,0.97037,0.97789,0.58157,1.45975,0.65949,1.06464,0.00150104,0.00150104,0.00150104
128,447.398,1.19999,0.5604,0.9356,0.94318,0.96824,0.97649,0.58136,1.47677,0.661,1.07706,0.00149708,0.00149708,0.00149708
129,450.933,1.19345,0.56853,0.95055,0.94743,0.95833,0.96852,0.57354,1.50477,0.66331,1.07286,0.00149312,0.00149312,0.00149312
130,454.781,1.18073,0.57085,0.95339,0.93804,0.95833,0.97354,0.58769,1.46548,0.65136,1.04291,0.00148916,0.00148916,0.00148916
131,458.497,1.21667,0.58173,0.98501,0.93428,0.94776,0.96081,0.55914,1.44577,0.68627,1.05215,0.0014852,0.0014852,0.0014852
132,462.011,1.26016,0.57753,0.97307,0.93512,0.96081,0.96964,0.55835,1.44588,0.6606,1.07337,0.00148124,0.00148124,0.00148124
133,465.533,1.20583,0.57407,0.95461,0.94019,0.96667,0.97086,0.56846,1.44403,0.65289,1.07011,0.00147728,0.00147728,0.00147728
